"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,143749833,4
2020,146506169,5
2020,146506307,4
2020,146508641,4
2020,143749823,3
2020,143758017,4
2020,146506379,5
2020,143749949,5
2020,143758210,4
2020,143758214,4
2020,146506416,5
2020,143758612,5
2020,143750857,6
2020,146508720,5
2020,143751478,4
2020,143751571,5
2020,143758981,3
2020,146506479,6
2020,146506478,6
2020,146508828,4
2020,146506567,4
2020,146508851,5
2020,146506594,5
2020,146506634,5
2020,146508935,5
2020,146506659,5
2020,146506762,5
2020,146506797,5
2020,146507145,5
2020,146509354,5
2020,146507152,5
2020,146507158,5
2020,146507181,5
2020,146507210,2
2020,146507241,6
2020,143751405,5
2020,143751442,5
2020,143751495,5
2020,143758903,5
2020,143758983,5
2020,143749740,4
2020,143758055,3
2020,143758055,4
